py_keyword,category,ar,ur,fa,prs,haz,sd,pa_sh,skr,bal,brh,hnd,ks,khw,ku_sor,ota,ug,ha_aj,sw_aj,ff_aj,wo_aj,ms_jawi,azb,kk_arab,ky_arab,tk_arab,so_arab,kr_arab,rhg
False,literal,خطأ,غلط,نادرست,نادرست,نادرست,غلط,غلط,غلط,نادرست,نادرست,غلط,غلط,غلط,غلط,نادرست,يالغان,خطأ,خطأ,نادرست,نادرست,نادرست,نادرست,يالغان,يالغان,يالغان,خطأ,خطأ,မှား
None,literal,لا_شيء,کوئی_نہیں,هیچ,هیچ,هیچ,ڪجه_نه,کوئی_نہیں,ڪجه_نه,هیچ,هیچ,کوئی_نہیں,کوئی_نہیں,کوئی_نہیں,کوئی_نہیں,هیچ,يوق,لا_شيء,لا_شيء,هیچ,هیچ,هیچ,هیچ,يوق,يوق,يوق,لا_شيء,لا_شيء,အလွတ်
True,literal,صحيح,سچ,درست,درست,درست,سچ,سچ,سچ,درست,درست,سچ,سچ,سچ,سچ,درست,توغرا,صحيح,صحيح,درست,درست,درست,درست,توغرا,توغرا,توغرا,صحيح,صحيح,မှန်
and,operator,و,اور,و,و,و,۽,اور,۽,و,و,اور,اور,اور,اور,و,ۋە,و,و,و,و,و,و,ۋە,ۋە,ۋە,و,و,နှင့်
as,keyword,كـ,کے_طور_پر,به_عنوان,به_عنوان,به_عنوان,جيئن,کے_طور_پر,جيئن,به_عنوان,به_عنوان,کے_طور_پر,کے_طور_پر,کے_طور_پر,کے_طور_پر,به_عنوان,دەپ,كـ,كـ,به_عنوان,به_عنوان,به_عنوان,به_عنوان,دەپ,دەپ,دەپ,كـ,كـ,အဖြစ်
assert,keyword,تحقق,تصدیق,تأیید,تأیید,تأیید,جاچ,تصدیق,جاچ,تأیید,تأیید,تصدیق,تصدیق,تصدیق,تصدیق,تأیید,دەلىللەش,تحقق,تحقق,تأیید,تأیید,تأیید,تأیید,دەلىللەش,دەلىللەش,دەلىللەش,تحقق,تحقق,အတည်ပြု
async,keyword,غير_متزامن,غیر_ہم_وقت,ناهمگام,ناهمگام,ناهمگام,غير_همزمان,غیر_ہم_وقت,غير_همزمان,ناهمگام,ناهمگام,غیر_ہم_وقت,غیر_ہم_وقت,غیر_ہم_وقت,غیر_ہم_وقت,ناهمگام,ھەمزەمەن_نەبوو,غير_متزامن,غير_متزامن,ناهمگام,ناهمگام,ناهمگام,ناهمگام,ھەمزەمەن_نەبوو,ھەمزەمەن_نەبوو,ھەمزەمەن_نەبوو,غير_متزامن,غير_متزامن,အချိန်မတူ
await,keyword,انتظر,انتظار_کرو,منتظر_بمان,منتظر_بمان,منتظر_بمان,انتظار,انتظار_کرو,انتظار,منتظر_بمان,منتظر_بمان,انتظار_کرو,انتظار_کرو,انتظار_کرو,انتظار_کرو,منتظر_بمان,چاوەڕوانی,انتظر,انتظر,منتظر_بمان,منتظر_بمان,منتظر_بمان,منتظر_بمان,چاوەڕوانی,چاوەڕوانی,چاوەڕوانی,انتظر,انتظر,စောင့်
break,control,اكسر,توڑو,شکن,شکن,شکن,ٽوڙ,توڑو,ٽوڙ,شکن,شکن,توڑو,توڑو,توڑو,توڑو,شکن,توختا,اكسر,اكسر,شکن,شکن,شکن,شکن,توختا,توختا,توختا,اكسر,اكسر,ဖျက်
class,definition,فئة,کلاس,کلاس,کلاس,کلاس,ڪلاس,کلاس,ڪلاس,کلاس,کلاس,کلاس,کلاس,کلاس,کلاس,کلاس,سىنىپ,فئة,فئة,کلاس,کلاس,کلاس,کلاس,سىنىپ,سىنىپ,سىنىپ,فئة,فئة,အတန်း
