c_keyword,category,ar,ur,fa,prs,haz,sd,pa_sh,skr,bal,brh,hnd,ks,khw,scl,bft,wbl,ku_sor,ku_kmr_pa,ota,ug,ha_aj,sw_aj,wo_aj,ff_aj,mnk_aj,jrb,jpr,tg_pa,lrc,mzn,glk,tat,syr_gar,ms_jawi,azb,kk_arab,ky_arab,tk_arab,so_arab,kr_arab,rhg
auto,storage,تلقائي,خودکار,خودکار,خودکار,خودکار,خودڪار,خودکار,خودڪار,خودکار,خودکار,خودکار,خودکار,خودکار,خودکار,خودکار,خۆکار,خۆکار,خودکار,ئاپتوماتىك,تلقائي,تلقائي,تلقائي,تلقائي,خودکار,خودکار,تلقائي,تلقائي,خودکار,خودکار,خودکار,خودکار,خودکار,خودکار,اوتوماتيك,خودکار,ئاپتوماتىك,ئاپتوماتىك,ئاپتوماتىك,isku,isku,အလိုအလျောက်
break,control,اكسر,توڑو,شکن,شکن,شکن,ٽوڙ,توڑو,ٽوڙ,شکن,شکن,توڑو,توڑو,توڑو,توڑو,توڑو,بشکێنە,بشکێنە,شکستن,توختا,اكسر,اكسر,اكسر,اكسر,شکن,شکن,اكسر,اكسر,شکن,شکن,شکن,شکن,شکن,شکن,ڤوتس,سندىر,ۇزۇش,ۇزۇش,ۈزىش,جبي,كسر,ဖျက်
case,control,حالة,کیس,مورد,مورد,مورد,حالت,کیس,حالت,مورد,مورد,کیس,کیس,کیس,کیس,کیس,بابەت,بابەت,مورد,ھالەت,حالة,حالة,حالة,حالة,مورد,مورد,حالة,حالة,مورد,مورد,مورد,مورد,مورد,مورد,كس,حالت,حالەت,حالەت,حالەت,حال,حال,ကိစ္စ
char,type,حرف,حرف,کاراکتر,کاراکتر,کاراکتر,اکر,حرف,اکر,کاراکتر,کاراکتر,حرف,حرف,حرف,حرف,حرف,پیت,پیت,کاراکتر,ھەرپ,حرف,حرف,حرف,حرف,کاراکتر,کاراکتر,حرف,حرف,کاراکتر,کاراکتر,کاراکتر,کاراکتر,کاراکتر,کاراکتر,چار,کاراکتر,ھەرپ,ھەرپ,ھەرپ,حرف,حرف,အက္ခရာ
const,qualifier,ثابت,مستقل,ثابت,ثابت,ثابت,مستقل,مستقل,مستقل,ثابت,ثابت,مستقل,مستقل,مستقل,مستقل,مستقل,جێگیر,جێگیر,ثابت,مۇقىم,ثابت,ثابت,ثابت,ثابت,ثابت,ثابت,ثابت,ثابت,ثابت,ثابت,ثابت,ثابت,ثابت,ثابت,كونستن,ثابت,مۇقىم,مۇقىم,مۇقىم,ثابت,ثابت,အမြဲ
continue,control,تابع,جاری_رکھو,ادامه,ادامه,ادامه,جاري,جاری_رکھو,جاري,ادامه,ادامه,جاری_رکھو,جاری_رکھو,جاری_رکھو,جاری_رکھو,جاری_رکھو,بەردەوام,بەردەوام,ادامه,داۋاملاشتۇر,تابع,تابع,تابع,تابع,ادامه,ادامه,تابع,تابع,ادامه,ادامه,ادامه,ادامه,ادامه,ادامه,ترسكن,ادامه,داۋام,داۋام,داۋام,داۋام,داوام,ဆက်
default,control,افتراضي,طےشدہ,پیشفرض,پیشفرض,پیشفرض,ڊي فالٽ,طےشدہ,ڊي فالٽ,پیشفرض,پیشفرض,طےشدہ,طےشدہ,طےشدہ,طےشدہ,طےشدہ,بنچینه,بنچینه,پیشفرض,سۈكۈت,افتراضي,افتراضي,افتراضي,افتراضي,پیشفرض,پیشفرض,افتراضي,افتراضي,پیشفرض,پیشفرض,پیشفرض,پیشفرض,پیشفرض,پیشفرض,ڤورا,پيشفرض,سۈكۈت,سۈكۈت,سۈكۈت,افتراضي,افتراضي,မူလ
do,loop,افعل,كرو,انجام_ده,انجام_ده,انجام_ده,ڪر,كرو,ڪر,انجام_ده,انجام_ده,كرو,كرو,كرو,كرو,كرو,بکە,بکە,کن,قىل,افعل,افعل,افعل,افعل,کن,کن,افعل,افعل,کن,کن,کن,کن,کن,کن,لکوقن,کن,قىل,قىل,قىل,افعل,افعل,လုပ်
double,type,مزدوج,دوگنا,دوگانه,دوگانه,دوگانه,ڊبل,دوگنا,ڊبل,دوگانه,دوگانه,دوگنا,دوگنا,دوگنا,دوگنا,دوگنا,دوگانه,دوگانه,دوگانه,قوش,مزدوج,مزدوج,مزدوج,مزدوج,دوگانه,دوگانه,مزدوج,مزدوج,دوگانه,دوگانه,دوگانه,دوگانه,دوگانه,دوگانه,دبل,دوگانه,قوش,قوش,قوش,مزدوج,مزدوج,နှစ်ဆ
else,control,وإلا,ورنہ,وگرنه,وگرنه,وگرنه,ٻيئي,ورنہ,ٻيئي,وگرنه,وگرنه,ورنہ,ورنہ,ورنہ,ورنہ,ورنہ,ئەگەر_نە,ئەگەر_نە,وگرنه,بولمىسا,وإلا,وإلا,وإلا,وإلا,وگرنه,وگرنه,وإلا,وإلا,وگرنه,وگرنه,وگرنه,وگرنه,وگرنه,وگرنه,اݢرنه,وگرنه,بولمىسا,بولمىسا,بولمىسا,وإلا,وإلا,မဟုတ်ရင်
