cpp_keyword,category,ar,ur,fa,prs,haz,sd,pa_sh,skr,bal,brh,hnd,ks,khw,scl,bft,wbl,ku_sor,ku_kmr_pa,ota,ug,ha_aj,sw_aj,wo_aj,ff_aj,mnk_aj,jrb,jpr,tg_pa,lrc,mzn,glk,tat,syr_gar,ms_jawi,azb,kk_arab,ky_arab,tk_arab,so_arab,kr_arab,rhg
alignas,qualifier,محاذاة,ہم_سطح,تراز,تراز,تراز,سڌائي,ہم_سطح,سڌائي,تراز,تراز,ہم_سطح,ہم_سطح,ہم_سطح,ہم_سطح,ہم_سطح,هاوسەنگ,هاوسەنگ,تراز,تەڭلەش,محاذاة,محاذاة,محاذاة,محاذاة,تراز,تراز,محاذاة,محاذاة,تراز,تراز,تراز,تراز,تراز,تراز,الاين,تراز,تەڭلەش,تەڭلەش,تەڭلەش,محاذاة,محاذاة,ညှိ
alignof,operator,محاذاة_من,ہم_سطح_کا,تراز_از,تراز_از,تراز_از,سڌائي_جو,ہم_سطح_کا,سڌائي_جو,تراز_از,تراز_از,ہم_سطح_کا,ہم_سطح_کا,ہم_سطح_کا,ہم_سطح_کا,ہم_سطح_کا,هاوسەنگی,هاوسەنگی,تراز_از,تەڭلىك,محاذاة_من,محاذاة_من,محاذاة_من,محاذاة_من,تراز_از,تراز_از,محاذاة_من,محاذاة_من,تراز_از,تراز_از,تراز_از,تراز_از,تراز_از,تراز_از,الاينوف,تراز_از,تەڭلىك,تەڭلىك,تەڭلىك,محاذاة_من,محاذاة_من,တိုင်း
and,operator,و,اور,و,و,و,۽,اور,۽,و,و,اور,اور,اور,اور,اور,و,و,و,ۋە,و,و,و,و,و,و,و,و,و,و,و,و,و,و,اند,و,ۋە,ۋە,ۋە,و,و,နှင့်
and_eq,operator,و_برابر,اور_برابر,و_برابر,و_برابر,و_برابر,۽_برابر,اور_برابر,۽_برابر,و_برابر,و_برابر,اور_برابر,اور_برابر,اور_برابر,اور_برابر,اور_برابر,و_یەکسان,و_یەکسان,و_برابر,ۋە_تەڭ,و_برابر,و_برابر,و_برابر,و_برابر,و_برابر,و_برابر,و_برابر,و_برابر,و_برابر,و_برابر,و_برابر,و_برابر,و_برابر,و_برابر,اند_ايكول,و_برابر,ۋە_تەڭ,ۋە_تەڭ,ۋە_تەڭ,و_برابر,و_برابر,နှင့်_တူ
asm,definition,اسمبلر,اسمبلی,اسمبلر,اسمبلر,اسمبلر,اسمبلر,اسمبلی,اسمبلر,اسمبلر,اسمبلر,اسمبلی,اسمبلی,اسمبلی,اسمبلی,اسمبلی,اسمبلە,اسمبلە,اسمبلر,ئاسىمبىلر,اسمبلر,اسمبلر,اسمبلر,اسمبلر,اسمبلر,اسمبلر,اسمبلر,اسمبلر,اسمبلر,اسمبلر,اسمبلر,اسمبلر,اسمبلر,اسمبلر,اسمبلر,اسمبلر,ئاسىمبىلر,ئاسىمبىلر,ئاسىمبىلر,اسمبلر,اسمبلر,အက်စမ်း
auto,storage,تلقائي,خودکار,خودکار,خودکار,خودکار,خودڪار,خودکار,خودڪار,خودکار,خودکار,خودکار,خودکار,خودکار,خودکار,خودکار,خۆکار,خۆکار,خودکار,ئاپتوماتىك,تلقائي,تلقائي,تلقائي,تلقائي,خودکار,خودکار,تلقائي,تلقائي,خودکار,خودکار,خودکار,خودکار,خودکار,خودکار,اوتوماتيك,خودکار,ئاپتوماتىك,ئاپتوماتىك,ئاپتوماتىك,تلقائي,تلقائي,အလိုအလျောက်
bool,type,منطقي,منطقی,بولی,بولی,بولی,بولين,منطقی,بولين,بولی,بولی,منطقی,منطقی,منطقی,منطقی,منطقی,دوودەیی,دوودەیی,بولی,بۇل,منطقي,منطقي,منطقي,منطقي,بولی,بولی,منطقي,منطقي,بولی,بولی,بولی,بولی,بولی,بولی,بول,بولی,بۇل,بۇل,بۇل,منطقي,منطقي,ဘူးလ်
break,control,اكسر,توڑو,شکن,شکن,شکن,ٽوڙ,توڑو,ٽوڙ,شکن,شکن,توڑو,توڑو,توڑو,توڑو,توڑو,بشکێنە,بشکێنە,شکستن,توختا,اكسر,اكسر,اكسر,اكسر,شکن,شکن,اكسر,اكسر,شکن,شکن,شکن,شکن,شکن,شکن,ڤوتس,شکن,توختا,توختا,توختا,اكسر,اكسر,ဖျက်
case,control,حالة,کیس,مورد,مورد,مورد,حالت,کیس,حالت,مورد,مورد,کیس,کیس,کیس,کیس,کیس,بابەت,بابەت,مورد,ھالەت,حالة,حالة,حالة,حالة,مورد,مورد,حالة,حالة,مورد,مورد,مورد,مورد,مورد,مورد,كس,مورد,ھالەت,ھالەت,ھالەت,حالة,حالة,ကိစ္စ
catch,exception,التقط,پکڑو,بگیر,بگیر,بگیر,پڪڙ,پکڑو,پڪڙ,بگیر,بگیر,پکڑو,پکڑو,پکڑو,پکڑو,پکڑو,بگرە,بگرە,بگیر,تۇت,التقط,التقط,التقط,التقط,بگیر,بگیر,التقط,التقط,بگیر,بگیر,بگیر,بگیر,بگیر,بگیر,كچ,بگیر,تۇت,تۇت,تۇت,التقط,التقط,ဖမ်း
char,type,حرف,حرف,کاراکتر,کاراکتر,کاراکتر,اکر,حرف,اکر,کاراکتر,کاراکتر,حرف,حرف,حرف,حرف,حرف,پیت,پیت,کاراکتر,ھەرپ,حرف,حرف,حرف,حرف,کاراکتر,کاراکتر,حرف,حرف,کاراکتر,کاراکتر,کاراکتر,کاراکتر,کاراکتر,کاراکتر,چار,کاراکتر,ھەرپ,ھەرپ,ھەرپ,حرف,حرف,အက္ခရာ
char16_t,type,حرف16,حرف16,کاراکتر16,کاراکتر16,کاراکتر16,اکر16,حرف16,اکر16,کاراکتر16,کاراکتر16,حرف16,حرف16,حرف16,حرف16,حرف16,پیت16,پیت16,کاراکتر16,ھەرپ16,حرف16,حرف16,حرف16,حرف16,کاراکتر16,کاراکتر16,حرف16,حرف16,کاراکتر16,کاراکتر16,کاراکتر16,کاراکتر16,کاراکتر16,کاراکتر16,چار16,کاراکتر16,ھەرپ16,ھەرپ16,ھەرپ16,حرف16,حرف16,အက္ခရာ16
char32_t,type,حرف32,حرف32,کاراکتر32,کاراکتر32,کاراکتر32,اکر32,حرف32,اکر32,کاراکتر32,کاراکتر32,حرف32,حرف32,حرف32,حرف32,حرف32,پیت32,پیت32,کاراکتر32,ھەرپ32,حرف32,حرف32,حرف32,حرف32,کاراکتر32,کاراکتر32,حرف32,حرف32,کاراکتر32,کاراکتر32,کاراکتر32,کاراکتر32,کاراکتر32,کاراکتر32,چار32,کاراکتر32,ھەرپ32,ھەرپ32,ھەرپ32,حرف32,حرف32,အက္ခရာ32
class,definition,فئة,کلاس,کلاس,کلاس,کلاس,ڪلاس,کلاس,ڪلاس,کلاس,کلاس,کلاس,کلاس,کلاس,کلاس,کلاس,کلاس,کلاس,کلاس,سىنىپ,فئة,فئة,فئة,فئة,کلاس,کلاس,فئة,فئة,کلاس,کلاس,کلاس,کلاس,کلاس,کلاس,كلاس,کلاس,سىنىپ,سىنىپ,سىنىپ,فئة,فئة,အတန်း
const,qualifier,ثابت,مستقل,ثابت,ثابت,ثابت,مستقل,مستقل,مستقل,ثابت,ثابت,مستقل,مستقل,مستقل,مستقل,مستقل,جێگیر,جێگیر,ثابت,مۇقىم,ثابت,ثابت,ثابت,ثابت,ثابت,ثابت,ثابت,ثابت,ثابت,ثابت,ثابت,ثابت,ثابت,ثابت,كونستن,ثابت,مۇقىم,مۇقىم,مۇقىم,ثابت,ثابت,အမြဲ
constexpr,qualifier,ثابت_وقت_الترجمة,ترجمہ_وقتی,ثابت_کامپایل,ثابت_کامپایل,ثابت_کامپایل,ڪمپائل_ثابت,ترجمہ_وقتی,ڪمپائل_ثابت,ثابت_کامپایل,ثابت_کامپایل,ترجمہ_وقتی,ترجمہ_وقتی,ترجمہ_وقتی,ترجمہ_وقتی,ترجمہ_وقتی,کۆمپایل_جێگیر,کۆمپایل_جێگیر,ثابت_کامپایل,تەرجىمە_جەرىيانى,ثابت_وقت_الترجمة,ثابت_وقت_الترجمة,ثابت_وقت_الترجمة,ثابت_وقت_الترجمة,ثابت_کامپایل,ثابت_کامپایل,ثابت_وقت_الترجمة,ثابت_وقت_الترجمة,ثابت_کامپایل,ثابت_کامپایل,ثابت_کامپایل,ثابت_کامپایل,ثابت_کامپایل,ثابت_کامپایل,كونستكسپر,ثابت_کامپایل,تەرجىمە_جەرىيانى,تەرجىمە_جەرىيانى,تەرجىمە_جەرىيانى,ثابت_وقت_الترجمة,ثابت_وقت_الترجمة,တည်ငြိမ်_ကွန်ပိုင်
continue,control,تابع,جاری_رکھو,ادامه,ادامه,ادامه,جاري,جاری_رکھو,جاري,ادامه,ادامه,جاری_رکھو,جاری_رکھو,جاری_رکھو,جاری_رکھو,جاری_رکھو,بەردەوام,بەردەوام,ادامه,داۋاملاشتۇر,تابع,تابع,تابع,تابع,ادامه,ادامه,تابع,تابع,ادامه,ادامه,ادامه,ادامه,ادامه,ادامه,ترسكن,ادامه,داۋام,داۋام,داۋام,داۋام,داوام,ဆက်
