js_keyword,category,ar,ur,fa,prs,haz,sd,pa_sh,skr,bal,brh,hnd,ks,khw,scl,bft,wbl,ku_sor,ku_kmr_pa,ota,ug,ha_aj,sw_aj,wo_aj,ff_aj,mnk_aj,jrb,jpr,tg_pa,lrc,mzn,glk,tat,syr_gar,ms_jawi,azb,kk_arab,ky_arab,tk_arab,so_arab,kr_arab,rhg
break,control,اكسر,توڑو,شکن,شکن,شکن,ٽوڙ,توڑو,ٽوڙ,شکن,شکن,توڑو,توڑو,توڑو,توڑو,توڑو,بشکێنە,بشکێنە,شکستن,توختا,اكسر,اكسر,اكسر,اكسر,شکن,شکن,اكسر,اكسر,شکن,شکن,شکن,شکن,شکن,شکن,ڤوتس,سندىر,ۇزۇش,ۇزۇش,ۈزىش,جبي,كسر,ဖျက်
case,control,حالة,کیس,مورد,مورد,مورد,حالت,کیس,حالت,مورد,مورد,کیس,کیس,کیس,کیس,کیس,بابەت,بابەت,مورد,ھالەت,حالة,حالة,حالة,حالة,مورد,مورد,حالة,حالة,مورد,مورد,مورد,مورد,مورد,مورد,كس,حالت,حالەت,حالەت,حالەت,حال,حال,ကိစ္စ
catch,control,التقط,پکڑو,بگیر,بگیر,بگیر,پڪڙ,پکڑو,پڪڙ,بگیر,بگیر,پکڑو,پکڑو,پکڑو,پکڑو,پکڑو,بگرە,بگرە,بگیر,تۇت,التقط,التقط,التقط,التقط,بگیر,بگیر,التقط,التقط,بگیر,بگیر,بگیر,بگیر,بگیر,بگیر,تنگكڤ,توتمق,تۇتۇش,تۇتۇش,تۇتۇش,قبض,قبض,ဖမ်း
class,definition,فئة,کلاس,کلاس,کلاس,کلاس,ڪلاس,کلاس,ڪلاس,کلاس,کلاس,کلاس,کلاس,کلاس,کلاس,کلاس,کلاس,کلاس,کلاس,سىنىپ,فئة,فئة,فئة,فئة,کلاس,کلاس,فئة,فئة,کلاس,کلاس,کلاس,کلاس,کلاس,کلاس,كلاس,سينيف,سىنىپ,سىنىپ,سىنىپ,فصل,فصل,အတန်း
const,definition,ثابت,مستقل,ثابت,ثابت,ثابت,مستقل,مستقل,مستقل,ثابت,ثابت,مستقل,مستقل,مستقل,مستقل,مستقل,جێگیر,جێگیر,ثابت,مۇقىم,ثابت,ثابت,ثابت,ثابت,ثابت,ثابت,ثابت,ثابت,ثابت,ثابت,ثابت,ثابت,ثابت,ثابت,كونستن,ثابت,مۇقىم,مۇقىم,مۇقىم,ثابت,ثابت,အမြဲ
continue,control,تابع,جاری_رکھو,ادامه,ادامه,ادامه,جاري,جاری_رکھو,جاري,ادامه,ادامه,جاری_رکھو,جاری_رکھو,جاری_رکھو,جاری_رکھو,جاری_رکھو,بەردەوام,بەردەوام,ادامه,داۋاملاشتۇر,تابع,تابع,تابع,تابع,ادامه,ادامه,تابع,تابع,ادامه,ادامه,ادامه,ادامه,ادامه,ادامه,ترسكن,ادامه,داۋام,داۋام,داۋام,داۋام,داوام,ဆက်
debugger,control,مصَحِّح,ڈیبگر,اشکال‌زدا,اشکال‌زدا,اشکال‌زدا,ڊيبگر,ڈیبگر,ڊيبگر,اشکال‌زدا,اشکال‌زدا,ڈیبگر,ڈیبگر,ڈیبگر,ڈیبگر,ڈیبگر,دیباگر,دیباگر,اشکال‌زدا,دىباگ,مصَحِّح,مصَحِّح,مصَحِّح,مصَحِّح,ديباگر,ديباگر,مصَحِّح,مصَحِّح,اشکال‌زدا,اشکال‌زدا,اشکال‌زدا,اشکال‌زدا,اشکال‌زدا,اشکال‌زدا,ديباݢر,ديباگر,دىباگ,دىباگ,دىباگ,ديباگر,ديباگر,ဒီဘဂ်
default,control,افتراضي,طےشدہ,پیشفرض,پیشفرض,پیشفرض,ڊي فالٽ,طےشدہ,ڊي فالٽ,پیشفرض,پیشفرض,طےشدہ,طےشدہ,طےشدہ,طےشدہ,طےشدہ,بنچینه,بنچینه,پیشفرض,سۈكۈت,افتراضي,افتراضي,افتراضي,افتراضي,پیشفرض,پیشفرض,افتراضي,افتراضي,پیشفرض,پیشفرض,پیشفرض,پیشفرض,پیشفرض,پیشفرض,ڤورا,پيشفرض,سۈكۈت,سۈكۈت,سۈكۈت,افتراضي,افتراضي,မူလ
delete,control,احذف,مٹاؤ,حذف,حذف,حذف,ڊاهيو,مٹاؤ,ڊاهيو,حذف,حذف,مٹاؤ,مٹاؤ,مٹاؤ,مٹاؤ,مٹاؤ,بسڕەوە,بسڕەوە,حذف,ئۆچۈر,احذف,احذف,احذف,احذف,حذف,حذف,احذف,احذف,حذف,حذف,حذف,حذف,حذف,حذف,حذف,حذف,ئۆچۈرۈش,ئۆچۈرۈش,ئۆچۈرۈش,حذف,حذف,ဖျက်
do,loop,افعل,كرو,انجام_ده,انجام_ده,انجام_ده,ڪر,كرو,ڪر,انجام_ده,انجام_ده,كرو,كرو,كرو,كرو,كرو,بکە,بکە,کن,قىل,افعل,افعل,افعل,افعل,کن,کن,افعل,افعل,کن,کن,کن,کن,کن,کن,لکوقن,کن,قىل,قىل,قىل,افعل,افعل,လုပ်
else,control,وإلا,ورنہ,وگرنه,وگرنه,وگرنه,ٻيئي,ورنہ,ٻيئي,وگرنه,وگرنه,ورنہ,ورنہ,ورنہ,ورنہ,ورنہ,ئەگەر_نە,ئەگەر_نە,وگرنه,بولمىسا,وإلا,وإلا,وإلا,وإلا,وگرنه,وگرنه,وإلا,وإلا,وگرنه,وگرنه,وگرنه,وگرنه,وگرنه,وگرنه,اݢرنه,وگرنه,بولمىسا,بولمىسا,بولمىسا,وإلا,وإلا,မဟုတ်ရင်
export,module,صدّر,برآمد,صادر,صادر,صادر,برآمد,برآمد,برآمد,صادر,صادر,برآمد,برآمد,برآمد,برآمد,برآمد,ناردن,ناردن,صادر,چىقار,صدّر,صدّر,صدّر,صدّر,صادر,صادر,صدّر,صدّر,صادر,صادر,صادر,صادر,صادر,صادر,اكسبور,صادر,چىقار,چىقار,چىقار,تصدير,تصدير,တင်ပို့
extends,definition,يمتد,توسیع_کرتا_ہے,گسترش_می‌دهد,گسترش_می‌دهد,گسترش_می‌دهد,وڌائي,توسیع_کرتا_ہے,وڌائي,گسترش_می‌دهد,گسترش_می‌دهد,توسیع_کرتا_ہے,توسیع_کرتا_ہے,توسیع_کرتا_ہے,توسیع_کرتا_ہے,توسیع_کرتا_ہے,دەرچوو,دەرچوو,گسترش,كېڭەيتىش,يمتد,يمتد,يمتد,يمتد,گسترش,گسترش,يمتد,يمتد,گسترش,گسترش,گسترش,گسترش,گسترش,گسترش,مڠمبڠ,گسترش,كېڭەيتىش,كېڭەيتىش,كېڭەيتىش,يمتد,يمتد,ချဲ့
finally,control,أخيراً,آخرکار,در_نهایت,در_نهایت,در_نهایت,آخرڪار,آخرکار,آخرڪار,در_نهایت,در_نهایت,آخرکار,آخرکار,آخرکار,آخرکار,آخرکار,لەکۆتایدا,لەکۆتایدا,در_نهایت,ئاخىرىدا,أخيراً,أخيراً,أخيراً,أخيراً,آخرڪار,آخرڪار,أخيراً,أخيراً,در_نهایت,در_نهایت,در_نهایت,در_نهایت,در_نهایت,در_نهایت,اخرنيا,در_نهایت,ئاخىرىدا,ئاخىرىدا,ئاخىرىدا,أخيراً,أخيراً,နောက်ဆုံး
for,loop,لـ,کے_ليے,برای,برای,برای,لاء,کے_ليے,لاء,برای,برای,کے_ليے,کے_ليے,کے_ليے,کے_ليے,کے_ليے,بۆ,بۆ,برای,ئۈچۈن,لـ,لـ,لـ,لـ,برای,برای,لـ,لـ,برای,برای,برای,برای,برای,برای,اونتوق,برای,ئۈچۈن,ئۈچۈن,ئۈچۈن,لـ,لـ,အတွက်
function,definition,دالة,فنکشن,تابع,تابع,تابع,فنڪشن,فنکشن,فنڪشن,تابع,تابع,فنکشن,فنکشن,فنکشن,فنکشن,فنکشن,فەنکشن,فەنکشن,تابع,فۇنكسىيە,دالة,دالة,دالة,دالة,تابع,تابع,دالة,دالة,تابع,تابع,تابع,تابع,تابع,تابع,فنكشن,تابع,فۇنكسىيە,فۇنكسىيە,فۇنكسىيە,دالة,دالة,လုပ်ဆောင်ချက်
if,control,إذا,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,ئەگەر,ئەگەر,اگر,ئەگەر,إذا,إذا,إذا,إذا,اگر,اگر,إذا,إذا,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,ئەگەر,ئەگەر,ئەگەر,إذا,إذا,အကယ်၍
