basic_keyword,category,ar,ur,fa,prs,haz,sd,pa_sh,skr,bal,brh,hnd,ks,khw,scl,bft,wbl,ku_sor,ku_kmr_pa,ota,ug,ha_aj,sw_aj,wo_aj,ff_aj,mnk_aj,jrb,jpr,tg_pa,lrc,mzn,glk,tat,syr_gar,ms_jawi,azb,kk_arab,ky_arab,tk_arab,so_arab,kr_arab,rhg
PRINT,io,اطبع,چھاپو,چاپ,چاپ,چاپ,ڇاپ,چھاپو,ڇاپ,چاپ,چاپ,چھاپو,چھاپو,چھاپو,چھاپو,چاپ,باس,چاپ,چاپ,چاپ,بېسىپ_چىقار,چاپ,چاپ,چاپ,چاپ,چاپ,چاپ,چاپ,چاپ,چاپ,چاپ,چاپ,چاپ,چاپ,چاپ,چاپ,باسып_шығар,басып_чыгар,çap_et,daabac,buga,ပုံနှိပ်
INPUT,io,ادخل,داخل_کرو,ورودی,ورودی,ورودی,داخل,داخل_کرو,داخل,ورودی,ورودی,داخل_کرو,داخل_کرو,داخل_کرو,داخل_کرو,ورودی,كىرگۈز,ورودی,ورودی,ورودی,كىرگۈزۈش,داخل,داخل,داخل,داخل,داخل,داخل,داخل,داخل,داخل,داخل,داخل,داخل,داخل,داخل,داخل,كىرگۈز,енгіз,киргиз,gir,gelin,shiga,ထည့်
LET,assign,دع,دیں,بگذار,بگذار,بگذار,ڏيو,دیں,ڏيو,بگذار,بگذار,دیں,دیں,دیں,دیں,بگذار,قويم,بگذار,بگذار,بگذار,تەڭشە,دع,دع,دع,دع,بگذار,بگذار,دع,دع,بگذار,بگذار,بگذار,بگذار,بگذار,بگذار,بري,قويم,بەر,бер,ber,ogolow,bar,ထား
IF,control,اذا,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,ئەگەر,اگر,اگر,اگر,ئەگەر,اذا,اذا,اذا,اذا,اگر,اگر,اذا,اذا,اگر,اگر,اگر,اگر,اگر,اگر,اگر,اگر,ئەگەر,ئەگەر,ئەگەر,اذا,اذا,အကယ်၍
THEN,control,ثم,تو,آنگاه,آنگاه,آنگاه,پوءِ,تو,پوءِ,آنگاه,آنگاه,تو,تو,تو,تو,آنگاه,ئاندىن,آنگاه,آنگاه,آنگاه,ئاندىن,ثم,ثم,ثم,ثم,آنگاه,آنگاه,ثم,ثم,آنگاه,آنگاه,آنگاه,آنگاه,آنگاه,آنگاه,مكا,ئاندىن,سодان,андан,markaas,sa,ထို့နောက်
ELSE,control,وإلا,ورنہ,وگرنه,وگرنه,وگرنه,ٻيئي,ورنہ,ٻيئي,وگرنه,وگرنه,ورنہ,ورنہ,ورنہ,ورنہ,وگرنه,بولمىسا,وگرنه,وگرنه,وگرنه,بولمىسا,وإلا,وإلا,وإلا,وإلا,وگرنه,وگرنه,وإلا,وإلا,وگرنه,وگرنه,وگرنه,وگرنه,وگرنه,وگرنه,وگرنه,وگرنه,بولمىسا,بولمىسا,بولمىسا,وإلا,وإلا,မဟုတ်ရင်
FOR,loop,لـ,کے_ليے,برای,برای,برای,لاء,کے_ليے,لاء,برای,برای,کے_ليے,کے_ليے,کے_ليے,کے_ليے,برای,بۆ,برای,برای,برای,ئۈچۈن,لـ,لـ,لـ,لـ,برای,برای,لـ,لـ,برای,برای,برای,برای,برای,برای,اونتوق,ئۈچۈن,үшін,үчүн,si,for,အတွက်
NEXT,loop,التالي,اگلا,بعدی,بعدی,بعدی,اڳيون,اگلا,اڳيون,بعدی,بعدی,اگلا,اگلا,اگلا,اگلا,بعدی,دوواتر,بعدی,بعدی,بعدی,كېيىنكى,التالي,التالي,التالي,التالي,بعدی,بعدی,التالي,التالي,بعدی,بعدی,بعدی,بعدی,بعدی,بعدی,سلسله,كېيىنكى,келесі,кийинки,xiga,kan,နောက်တစ်ခု
GOTO,control,اذهب_إلى,جاؤ,برو_به,برو_به,برو_به,وڃو,جاؤ,وڃو,برو_به,برو_به,جاؤ,جاؤ,جاؤ,جاؤ,برو_به,بڕۆ,برو_به,برو_به,برو_به,بېرىش,اذهب_إلى,اذهب_إلى,اذهب_إلى,اذهب_إلى,برو_به,برو_به,اذهب_إلى,اذهب_إلى,برو_به,برو_به,برو_به,برو_به,برو_به,برو_به,ڬوتو,بېرىش,бар,бар,tag,tag,သွား
GOSUB,control,اذهب_فرعي,ذیلی_جاؤ,زیرروال,زیرروال,زیرروال,ذیلی,ذیلی_جاؤ,ذیلی,زیرروال,زیرروال,ذیلی_جاؤ,ذیلی_جاؤ,ذیلی_جاؤ,ذیلی_جاؤ,زیرروال,لاوه‌كى,زیرروال,زیرروال,زیرروال,ئاستىغا,اذهب_فرعي,اذهب_فرعي,اذهب_فرعي,اذهب_فرعي,زیرروال,زیرروال,اذهب_فرعي,اذهب_فرعي,زیرروال,زیرروال,زیرروال,زیرروال,زیرروال,زیرروال,سابروتين,ئاستىغا,қосалқы,кошумча,hoosaad,hoosaad,သွားခွဲ
